926293,-1,3779,8011
14401,-1,767,3869
69761,-1,803,18822
710189,-1,339,3559
27017,-1,19794,153123
821057,-1,1000,3619
140593,-1,6349,68828
544129,-1,4996,64903
856417,-1,12547,218106
318233,-1,4173,56922
550717,-1,6850,153305
978157,-1,5573,31907
709693,-1,6742,85090
548213,-1,8176,135225
187139,57,964,657
707561,-1,5722,76513
156799,20,2149,40125
123863,78,1146,1525
926963,143,6743,21680
345517,-1,3453,35368
347513,-1,1667,5846
419147,23,30786,22625
163259,107,12566,52710
879449,-1,8005,108128
652291,-1,11261,163881
17443,97,256,3015
117443,-1,1448,15468
407621,-1,4098,54173
517061,-1,5725,60618
16319,26,1120,914
198223,69,1515,27775
2267,12,87,97
334751,213,2531,31398
176213,-1,2462,74941
175079,25,2013,21602
78901,-1,768,6358
22943,34,1100,2361
444811,-1,6125,93611
485201,-1,5149,98791
168559,21,1819,20645
848201,-1,5371,56486
76943,26,867,8965
297779,49,2208,11302
513749,-1,5152,11075
790369,-1,5503,106102
200191,88,2233,8644
499159,82,2903,14786
559739,157,3984,9289
750853,-1,1763,26234
168263,27,5568,72748
387281,-1,1510,2340
768133,-1,6925,64328
851359,-1,8153,143241
11579,37,125,851
640859,166,3326,4184
407923,99,7413,141678
323359,33,1689,3551
849097,-1,5959,64827
636931,72,5954,74964
894371,314,1522,21202
139999,55,3207,26767
550703,71,22537,187015
71479,-1,571,3098
291869,-1,2379,14652
454919,64,4086,43924
448207,127,2204,5537
317263,165,1638,3079
350249,-1,2147,30554
28309,-1,258,289
922217,-1,7097,62611
527281,-1,5177,112674
379157,-1,1828,27716
167173,-1,3974,67439
150299,61,1073,15190
929791,-1,6754,115777
834787,60,9806,163278
957091,332,1739,24872
290971,78,7634,160486
509329,-1,2000,1396
44017,-1,495,7154
254791,58,2508,32128
630941,-1,5914,97395
537281,-1,9078,184102
939229,-1,9448,36412
981137,-1,9104,218482
437719,-1,4639,83517
395107,98,3290,47425
49531,-1,404,2545
315521,-1,1720,8949
712687,214,6394,10557
929629,-1,2199,14299
371227,60,9065,170579
351341,-1,935,3230
115693,-1,4898,35287
549091,129,3490,55618
880559,47,829,14792
561277,-1,6052,136218
75991,92,2644,58108
239849,-1,9166,185548
251291,42,2557,37644
681971,-1,7559,81266
508129,-1,1085,4850
962011,-1,13750,199050
124781,-1,697,23157
53327,-1,9782,230153
949043,155,5244,54720
826883,-1,2974,43584
307129,-1,9532,203788
72379,121,1117,6306
523603,1498,3859,31695
671299,183,5524,93266
957851,511,8261,143421
485497,-1,5560,91376
122557,-1,2124,34087
140983,-1,1429,23421
639307,30,3191,18101
230761,-1,1362,20660
24481,21,394,6573
364027,43,1979,11081
355339,-1,3808,76946
760637,-1,5803,116023
652189,-1,6186,133478
776521,-1,7457,121221
629339,100,6730,138692
190097,-1,1274,545
798887,27,4244,58335
152843,73,930,7378
166643,44,1276,4487
825467,265,6032,73036
219799,218,9324,14904
320449,-1,1777,17226
715549,-1,17631,153362
843737,-1,19954,175712
153271,64,1490,22103
852287,174,7403,101741
920921,-1,8486,62013
728003,-1,11669,225208
352841,-1,4025,69233
471929,-1,5425,117386
946489,-1,3732,60352
514939,-1,43069,224398
991633,-1,7437,162835
387641,-1,4570,121051
905111,109,5958,125989
80651,-1,680,460
520609,-1,2052,24559
